标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
龙江 医疗配套成熟 商圈成熟 满五 交通便捷 南北通透,368,54926元/㎡,新河一村,鼓楼,2,67㎡,南北,1998年建造,"['南北', '满五年', '近地铁']"
凤凰花园城 华阳家园 精装两房 设施齐全 地段好 随时看,248,37788元/㎡,华阳佳园,鼓楼,2,65.63㎡,南,2000年建造,"['南', '满二年', '近地铁']"
金贸大街 许府巷 栖霞建设 汇林绿洲三期广林苑 两房 采光好,440,47801元/㎡,汇林绿洲广林苑,鼓楼,2,92.05㎡,南北,2008年建造,"['南北', '满五年', '近地铁', '绿化率高']"
金地明悦 满五 双卫生间 带电梯 南向采光好 交通便利,239,20428元/㎡,金地明悦,栖霞,4,117㎡,南,2013年建造,"['南', '满五年', '近地铁']"
中间好楼层 南北通透 近地铁 交通便利 商业配套齐全,155,30033元/㎡,殷高巷小区,秦淮,2,51.61㎡,南北,1995年建造,"['南北', '满二年', '近地铁']"
4站南京南 九龙湖 4.8米挑高现房 即住 民用水电,45,11843元/㎡,融信城市之窗,江宁,2,38㎡,南北,2023年建造,"['南北', '近地铁', '次新房', '多人关注']"
急 急 急售 产权车位 全明边户 核心区 一中旁 美麟香漫山,180,18458元/㎡,美麟香漫山,浦口,3,97.52㎡,南北,2017年建造,"['南北', '满二年', '车位充足']"
城风景北苑 毛坯三房 室格格局方正 随时看 诚意卖,156,17965元/㎡,上城风景(北区),栖霞,3,86.84㎡,南,2010年建造,"['南', '满五年', '近地铁']"
房源采光好，南北通透，业主诚意出,159,19529元/㎡,东城世家,栖霞,3,81.42㎡,南,2013年建造,"['南', '满五年', '近地铁', '绿化率高']"
双卫格局 低容积 南北通透 装修好 中间好楼层 满五,439,33402元/㎡,大地豪庭,秦淮,3,131.43㎡,南北,2004年建造,"['南北', '满五年', '绿化率高']"
3房 户型次顶楼 一梯两户南北通透双阳台 房主诚心出售,238,18168元/㎡,明发滨江新城(一期),浦口,3,131㎡,南北,2006年建造,"['南北', '满五年', '近地铁']"
南部新城花园洋房！！好 房不等人啊，抓紧时间下手 欢迎来电,200,23793元/㎡,良城美景,秦淮,2,84.06㎡,南北,2005年建造,"['南北', '满五年', '近地铁', '多人关注']"
商业配套成熟 小三居 有电梯 临地铁 交通便利 南向采光好,122,13864元/㎡,花港幸福城牡丹园,栖霞,3,88㎡,南,2013年建造,"['南', '满二年']"
保利荣盛合悦 大三房 双卫 靠近龙池地铁口 南北通透,87,8970元/㎡,保利荣盛合悦,六合,3,97㎡,南北,2017年建造,"['南北', '满二年', '近地铁', '车位充足']"
低价源于自信 人改嫁源于无奈 房源出售迫于置换,488,34045元/㎡,东方天郡(西区),栖霞,4,143.34㎡,南北,2000年建造,"['南北', '房东直卖', '满二年', '近地铁']"
马群东S6旁 精装修三房 置换降价急售 真心便宜,105.5,11586元/㎡,东郊小镇第二街区,江宁,3,91.06㎡,南北,2008年建造,"['南北', '车位充足']"
弘阳 旭日 城二期 精装修两房 性价比高 全南户型 诚心卖,155,18523元/㎡,弘阳旭日上城二区,浦口,2,83.68㎡,南北,2017年建造,"['南北', '近地铁', '绿化率高', '户型方正']"
低楼层两房 价格可谈 西一新村 火瓦巷 西方巷 慧园街,206,49295元/㎡,王府园小区,秦淮,2,41.79㎡,南北,1993年建造,"['南北', '满五年', '近地铁']"
月苑 近医院 产权清晰 满二 高楼层视野好 商圈成熟,585,45804元/㎡,中海玄武公馆B区,玄武,3,127.72㎡,南,2018年建造,"['南', '满二年', '近地铁', '车位充足']"
仙林南外旁汇杰文庭精装三房两厅 陪DU优选,409,35259元/㎡,汇杰文庭,栖霞,3,116㎡,南,2009年建造,"['南', '满五年', '近地铁', '绿化率高']"
急急急售!仙林湖次新房 融信世纪东方 小高层精装修随时可看！,240,24107元/㎡,融筑儒林花园,栖霞,3,99.56㎡,南,2018年建造,"['南', '满五年', '近地铁', '车位充足']"
高楼层采光充足 满五 精装好房 超低密度 商品房 南北通透,448,43721元/㎡,银城东苑,玄武,3,102.47㎡,南北,2000年建造,"['南北', '满五年', '近地铁']"
电建海赋尚城 刚需两房朝南户型毛坯 地铁房 高楼层采光好,165,24265元/㎡,海赋尚城一期,栖霞,2,68㎡,南,2018年建造,"['南', '满二年', '近地铁']"
天润城16北 次新小区 品子户型 采光不挡 换房急售,115,12788元/㎡,天润城十六街区(北区),浦口,2,89.93㎡,南北,2016年建造,"['南北', '满五年', '近地铁']"
推推，神奇房源爱 对方爱 对方485.00万元,485,36967元/㎡,保利堂悦,秦淮,3,131.2㎡,南北,2018年建造,"['南北', '满五年', '近地铁']"
刚需小三居 有电梯 高楼层采光充足 商品住宅 商业配套成熟,105,11772元/㎡,荣盛花语馨苑,六合,3,89.2㎡,南北,2016年建造,"['南北', '满二年', '近地铁']"
出售超值自住精心装修3室南北低价婚房,280,25023元/㎡,龙蟠花苑(北园),秦淮,3,111.9㎡,南北,2006年建造,"['南北', '满五年', '近地铁']"
富力旁！宋都89平可自主装修！ 双阳台采光不挡! 随时看房！,155,17705元/㎡,宋都南郡(北区),雨花台,3,87.55㎡,南北,2015年建造,"['南北', '满五年']"
西善桥 低密度社区 小三房 高楼层视野无遮挡 精装好房,135,15518元/㎡,平治南苑,雨花台,3,87㎡,南北,2012年建造,"['南北', '满二年', '户型方正']"
带电梯 正南朝向 小三房 低密度社区 满二 商品住宅,96,10948元/㎡,翠屏城,江宁,3,87.69㎡,南,2016年建造,"['南', '满二年']"
云谷山庄 满二 环境优美 临地铁 电梯房 正南朝向,193,28602元/㎡,云谷山庄,鼓楼,2,67.48㎡,南,2011年建造,"['南', '满二年', '近地铁', '绿化率高']"
拉萨路29 低总价大两房 房龄新 小区环境好,480,75036元/㎡,峨嵋岭19号小区,鼓楼,2,63.97㎡,南,1996年建造,"['南', '满二年', '近地铁']"
正南 3室2厅 精装修,650,55785元/㎡,恒盛金陵湾,鼓楼,3,116.52㎡,南,2015年建造,"['南', '满二年']"
中粮鸿云 精装修 抄底 众彩物流,180,20225元/㎡,中粮鸿云,江宁,3,89㎡,南北,2015年建造,"['南北', '满五年']"
榴美颂飞机户型 凤凰楼层采光好视野无遮挡 拎包入住阅江山旁,225,19301元/㎡,大华锦绣华城榴美颂,浦口,3,116.58㎡,南北,2008年建造,"['南北', '满五年', '户型方正']"
紫金华府是由香港佳源集团由南京新浩宁房地产开发有限公司负责,370,37284元/㎡,紫金华府(一期),玄武,3,99.24㎡,南北,2016年建造,"['南北', '近地铁', '车位充足']"
都会四季西区 双阳台 万科物业 采光无遮挡 诚心出售,290,30472元/㎡,云逸都荟花园西园,江宁,3,95.17㎡,南,2000年建造,"['南', '满二年', '近地铁']"
二百三十万可售 珠江路 低楼层双南一北 南小 3号线浮桥,240,38474元/㎡,珠江路291号小区,玄武,3,62.38㎡,南,1990年建造,"['南', '满五年', '近地铁']"
房龄新 带电梯 产权清晰 临地铁 出行方便 小三房,190,25334元/㎡,清润园小区,建邺,3,75㎡,南,2011年建造,"['南', '房东直卖', '有电梯', '近地铁']"
急售 迈皋桥地铁口 保利朗诗科技房 四季恒温 业主委托出售,438,32074元/㎡,保利朗诗蔚蓝,栖霞,4,136.56㎡,南北,2018年建造,"['南北', '有电梯', '近地铁']"
华润幸福里三室二厅 楼层好，房东诚心出售，价格可谈,240,20870元/㎡,华润幸福里,栖霞,3,115㎡,南,2016年建造,"['南', '满二年', '近地铁']"
燕子矶 满二 精装修 小三房 交通便利 中间楼层 临地铁,228,28971元/㎡,紫御东方(二期),栖霞,3,78.7㎡,南北,2019年建造,"['南北', '满二年', '次新房']"
3号线地铁口毛坯三房 南北通透看房有钥匙,185,14247元/㎡,威尼斯水城第十五街区,浦口,3,129.86㎡,南北,2015年建造,"['南北', '满五年', '近地铁', '车位充足']"
丁家庄地铁口 双南一北三房居家装修,170,19541元/㎡,燕歌园,栖霞,3,87㎡,南,2013年建造,"['南', '满二年', '近地铁']"
花语城三期 2室2厅 131万元 精装,125,15139元/㎡,荣盛花语城(三期),六合,2,82.57㎡,南北,2016年建造,['南北']
诚售价可刀 不靠路 方正大3房 满5且1 固定车位 有钥匙,250,19842元/㎡,翠屏东南,江宁,3,126㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '多人关注']"
业主委托诚心出售 毛坯房 有钥匙可随时看房 边户带花园,1099,30891元/㎡,万山庭院(住宅),栖霞,4,355.77㎡,南北,2014年建造,"['南北', '热门小区', '近地铁', '随时可看']"
看房有钥匙 商品房 精装修 满二 低密度社区 南北通透,159,22579元/㎡,四方新村四村,秦淮,3,70.42㎡,南北,2000年建造,"['南北', '满二年']"
白云雅居 南北通透 板楼 商品房 出行方便 商业配套齐全,178,23117元/㎡,白云雅居,鼓楼,2,77㎡,南北,2015年建造,"['南北', '满五年', '近地铁', '车位充足']"
装修好 南北通透 双卫生间 电梯房 高楼层视野好 低密宜居,880,69292元/㎡,华新城璟园,建邺,3,127㎡,南北,2000年建造,"['南北', 'VIP房东直卖', '满五年', '近地铁']"
百家湖 21世纪国际 诚心出售 看房随时 采光充足,299,19610元/㎡,21世纪现代城(西区1-34),江宁,3,152.48㎡,南北,2007年建造,"['南北', '满五年', '近地铁']"
龙蟠中路电梯花园洋房！低 于市 场 价100 个欢迎实地看房,460,31892元/㎡,东城水岸,秦淮,3,144.24㎡,南北,2004年建造,"['南北', '满五年', '近地铁', '绿化率高']"
玄武门 楼层好 医疗配套成熟 精装修 商品房 电梯房,560,51590元/㎡,湖景花园,玄武,3,108.55㎡,南北,2004年建造,"['南北', '满五年', '近地铁', '绿化率高']"
南京仙林湖 超赞湖景房 景观 业主直降80万 急急急,334,24029元/㎡,万达茂御湖仕家三期,栖霞,4,139㎡,南北,2017年建造,"['南北', '满二年', '近地铁']"
40平院子 玄武湖中央门小市地铁口 阳光明媚 有车位 3房,170,24638元/㎡,调速小区,鼓楼,3,69㎡,南北,1991年建造,"['南北', '满五年', '近地铁', '户型方正']"
星雨华府 2室1厅 五期房龄新 雨润物业,366,55447元/㎡,星雨华府,建邺,2,66.01㎡,东北,2014年建造,"['东北', '满五年', '近地铁', '绿化率高']"
价格可大刀 北区方正大2房 1梯2户 精装满5且1 带车位,200,22728元/㎡,托乐嘉花园,江宁,2,88㎡,南北,2014年建造,"['南北', '满五年', '近地铁', '绿化率高']"
南湖 7号线大士茶亭站旁 艺苑村 中间楼层 低总价两房,109,23784元/㎡,艺苑村,建邺,2,45.83㎡,南北,1986年建造,"['南北', '近地铁']"
骏景华庭 业主急售 小高层 价格还可以谈 还可以谈，必卖好房,270,29058元/㎡,骏景华庭,江宁,3,92.92㎡,南北,2014年建造,"['南北', '满二年', '近地铁', '绿化率高']"
丁家庄二期 南北通透 两梯四户 大产权 动静分离 近地铁口,176,19858元/㎡,凤仪西园,栖霞,3,88.63㎡,南北,2017年建造,"['南北', '满五年', '近地铁', '绿化率高']"
招商兰溪谷 精装修 三房朝南 央企开发 浦外旁 靠近地铁,150,20000元/㎡,招商兰溪谷,浦口,3,75㎡,南北,2018年建造,"['南北', '满五年', '近地铁', '车位充足']"
保利梧桐语 双卫生间 近地铁 南向采光好 正规商品房 房龄新,230,19051元/㎡,保利梧桐语,江宁,4,120.73㎡,南,2016年建造,"['南', '有电梯', '近地铁']"
万达广场地铁口苏宁睿城精装全南2房94平满五年 不临街拎包,518,55107元/㎡,苏宁睿城,鼓楼,2,94㎡,南,2013年建造,"['南', '满五年', '近地铁']"
业主急卖 价格空间大 电梯房 南北通透 楼层好 近地铁,176,17121元/㎡,麒麟山庄,江宁,2,102.8㎡,南北,2016年建造,"['南北', '满二年', '绿化率高']"
滨江 商品房 大两居 南向采光好 小区新 有电梯 临地铁,83,9884元/㎡,绿地国际花都(二期)御峯,滨江开发区,2,83.98㎡,南,2018年建造,"['南', '满二年']"
"夫子庙139.63平凯悦天琴花园阳光充足,治安全面",440,31512元/㎡,凯悦天琴花园,秦淮,3,139.63㎡,南北,2006年建造,"['南北', '满五年', '近地铁', '多人关注']"
价格可大刀 边户全明 方正大3房 满5且1 带车位 有钥匙,260,21667元/㎡,南航揽翠苑,江宁,3,120㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '人气热搜']"
正南朝向 房龄新 大两房 满五,64,6531元/㎡,永欣新寓,江宁,2,98㎡,南,2015年建造,"['南', '满五年', '户型方正']"
商业配套成熟 交通便捷 楼层好 满五 南北通透,213,34037元/㎡,祁家桥4号小区,鼓楼,2,62.58㎡,南北,1988年建造,"['南北', '满五年', '近地铁']"
文承熙苑 集体暖气房 南北通透 中间楼层 满五,118,13721元/㎡,荣盛文承熙苑,六合,3,86㎡,南北,2016年建造,"['南北', '满五年', '户型方正']"
高新S8号线地铁旁 印悦府花园洋房131平豪装五房双卫次新房,368,28161元/㎡,印悦府,浦口,5,130.68㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '次新房']"
此房满两年，通透户型，边户，中 楼层，诚心出售，可实地看房,197,21309元/㎡,中南山锦花城,江宁,3,92.45㎡,南,2018年建造,"['南', '满二年']"
急售高楼层万科翡翠滨江次新房 未入住 价可谈二次装修,1580,68104元/㎡,万科翡翠滨江,建邺,4,232㎡,南,2021年建造,"['南', '热门小区', '优势户型', '随时可看']"
价可刀 电梯顶跃 大露台 方正大3房 满5且1 带车位有钥匙,295,21692元/㎡,翠屏国际城广场苑,江宁,3,136㎡,南北,2012年建造,"['南北', '满五年', '近地铁', '绿化率高']"
钟山晶典 精装修 保养好 三室中间层 诚售,259,23535元/㎡,钟山晶典苑,栖霞,3,110.05㎡,南北,2010年建造,"['南北', '满五年', '近地铁']"
浦外旭日爱 城六区 精装可拎包入住 板楼 房龄新 交通便捷,245,21858元/㎡,旭日爱上城六区,浦口,3,112.09㎡,南北,2016年建造,"['南北', '满五年', '近地铁']"
聚福园 银城汇文 诚售 满五年 环境很不错 鼓楼,560,53106元/㎡,银城聚福园东园,鼓楼,3,105.45㎡,南北,2011年建造,"['南北', '满五年', '近地铁']"
新街口商圈 夫子庙旁 全明双南大三房 结婚装修 诚心出售,199,25241元/㎡,金粟庵小区,秦淮,3,78.84㎡,南北,1997年建造,"['南北', '满二年', '近地铁']"
雨花台区板桥金地自在城八期3室1厅,148,16819元/㎡,金地自在城(八期),雨花台,3,88㎡,南北,2014年建造,"['南北', '满五年']"
南北通透 满五 低密宜居 有电梯 楼层好 集中供暖,490,39603元/㎡,美林东苑,玄武,3,123.73㎡,南北,2003年建造,"['南北', '满五年', '近地铁', '车位充足']"
国资委江景房 精装三房 带地暖 南北通透 视野开阔,225,20946元/㎡,江月府,浦口,3,107.42㎡,南,2014年建造,"['南', '满五年', '户型方正']"
号外 号外 东城世家 100平 中 楼层 急售,210,20768元/㎡,东城世家,栖霞,3,101.12㎡,南,2013年建造,"['南', '满五年', '近地铁', '绿化率高']"
石埠湾秋山苑 正南朝向 中间楼层采光好 带电梯 精装三居,115,13069元/㎡,石埠湾秋山苑,栖霞,3,88㎡,南,2000年建造,"['南', '满二年']"
居住密度低 南北通透 满五,188,27055元/㎡,长白街98号小区,秦淮,3,69.49㎡,南北,1999年建造,"['南北', '满五年', '近地铁', '车位充足']"
新街口 三山街 万象天地 皇册家园电梯洋房新出 高楼层两房,528,54016元/㎡,皇册家园一二期,秦淮,2,97.75㎡,南北,2006年建造,"['南北', '满五年', '近地铁']"
开发区 对面电梯房精装修高楼层随时看房九龙湖地铁口不靠马路,210,20300元/㎡,合家春天,江宁,3,103.45㎡,南北,2011年建造,"['南北', '满五年', '近地铁']"
保利梧桐语 南北通透三房 采光充足 有钥匙 随时看房,185,19320元/㎡,保利梧桐语,江宁,3,95.76㎡,南北,2013年建造,"['南北', '满五年', '近地铁']"
浦泰和天下一期 紧邻金象城,135,13500元/㎡,浦泰和天下(一期),浦口,3,100㎡,南北,2010年建造,"['南北', '满五年', '近地铁']"
爱涛尚书云邸 已空置中楼层拎包入住 本部距离近 有钥匙,255,29017元/㎡,尚书云邸,江宁,2,87.88㎡,南北,2017年建造,"['南北', '满二年']"
新上好房 华润悦府 河西金鹰万达旁 跃层 河西豪宅 地铁口,479,44320元/㎡,华润新悦天地,建邺,3,108.08㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '车位充足']"
燕子矶近地铁口保利二期89平毛坯满二中间楼层看房方便有钥匙,226,25291元/㎡,保利国际社区(二期),栖霞,3,89.36㎡,南北,2020年建造,"['南北', '满二年', '次新房']"
新城保利天地 近地铁 满二 房龄新 高楼层视野无遮挡 电梯房,100,11295元/㎡,新城保利天地,江宁,4,88.54㎡,南,2018年建造,"['南', '满二年', '近地铁']"
急！急！急！力小29低总价大三房 离校近 楼层低 业主急售,460,65416元/㎡,剑阁路31号小区,鼓楼,3,70.32㎡,南北,1990年建造,"['南北', '满五年', '近地铁', '车位充足']"
华汇康城 双卫生间 产权清晰 满五 中间好楼层 临地铁,165,13399元/㎡,华汇康城,江宁,3,123.15㎡,南,2009年建造,"['南', '满五年']"
电梯房 高楼层视野无遮挡 集中供暖 满五 产权清晰 低密宜居,460,42330元/㎡,钟山花园城博雅居,玄武,3,108.67㎡,南北,2003年建造,"['南北', '满五年', '近地铁', '绿化率高']"
兆园 3室1厅1卫 毛坯 楼层好 采光不挡,165,26721元/㎡,兆园,建邺,3,61.75㎡,南北,1993年建造,"['南北', '满五年', '近地铁']"
世茂荣里二期 总高11层 南北通透好户型 隧道口 近地铁,198,22500元/㎡,世茂荣里,浦口,3,88㎡,南北,2019年建造,"['南北', '满二年', '车位充足']"
号外！婚房20万1楼带院子房主因生意失败割爱出售 一天未住,80,14286元/㎡,上怡新村,雨花台,2,56㎡,南北,1993年建造,"['南北', '近地铁', '房东急售', '随时可看']"
板楼 满二 刚需两居 居住密度低 电梯房 集中供暖,140,17099元/㎡,紫杨佳园,秦淮,2,81.88㎡,南,2013年建造,"['南', '满二年', '人气热搜']"
双十一钜惠 降价10万急售 银城精装带地暖四房 可看,205,23112元/㎡,银城一方山,江宁,4,88.7㎡,南北,2019年建造,"['南北', '满五年', '车位充足']"
交通便利 中间好楼层 有电梯 南北通透 医疗配套成熟 近地铁,568,53829元/㎡,金隅紫京府,建邺,3,105.52㎡,南北,2017年建造,"['南北', '满二年', '近地铁', '车位充足']"
河苑苏宁璞邸恒盛金陵湾民佳园清江西苑清江花苑新河一村二村,470,46535元/㎡,恒盛金陵湾,鼓楼,3,101㎡,南北,2020年建造,"['南北', '唯一住房', '次新房', '多人关注']"
低容积 精装可拎包入住 南北通透 中间好楼层 诚心出售,62,12654元/㎡,燕歌园,栖霞,1,49㎡,南北,2013年建造,"['南北', '近地铁']"
低于市场价格，业主置换急售，安静不吵的户型，采光充足，安静,335,29689元/㎡,香山美墅,江宁,3,112.84㎡,南北,2015年建造,"['南北', '满五年', '近地铁', '绿化率高']"
江宁区百家湖 东山万达商圈 坊新城尚祈苑3室1厅,143,15544元/㎡,上坊新城尚祈苑,江宁,3,92㎡,南,2006年建造,"['南', '满二年']"
佳兆业四房！！价格含车位！！含车位！！价格可谈！采光不挡！！,550,43651元/㎡,佳兆业城市广场三期,建邺,4,126㎡,南北,2021年建造,"['南北', '满二年', '近地铁', '次新房']"
复地御钟山紫金山旁大平层出国急售看房方便,1060,46461元/㎡,复地御钟山,栖霞,4,228.15㎡,南北,2019年建造,"['南北', '满五年', '近地铁', '次新房']"
板楼 车位充足 满五 南北通透 中间好楼层 次新小区,108,12029元/㎡,荣盛花语城(一期),六合,3,89.79㎡,南北,2019年建造,"['南北', '满五年', '车位充足']"
香格里拉花园 精装可拎包入住 南北通透 双卫格局 商圈成熟,490,36843元/㎡,香格里拉花园,秦淮,3,133㎡,南北,2005年建造,"['南北', '满五年', '近地铁']"
急售有钥匙 五塘小市恒盛嘉园 好楼层商品房有车位 双地铁口,134,19421元/㎡,恒盛嘉园,鼓楼,2,69㎡,南北,2007年建造,"['南北', '满二年', '近地铁', '户型方正']"
和昌湾景 小三房 临地铁 高楼层采光充足 边户南北通透,156,17714元/㎡,和昌湾景,雨花台,3,88.07㎡,南,2018年建造,"['南', '满二年', '户型方正', '多人关注']"
银亿双地铁 时尚的风格，自住您 位,139,15626元/㎡,银亿东城第九街区,江宁,3,88.96㎡,南,2000年建造,"['南', '满二年']"
低密度社区 满五 中间楼层 集中供暖 板楼,290,24783元/㎡,鸿信清新家园,秦淮,3,117.02㎡,南,2005年建造,"['南', '满五年']"
竹山路武夷绿洲观竹苑 南北通透 满五 店长极力推荐,248,23685元/㎡,武夷绿洲观竹苑,江宁,3,104.71㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '车位充足']"
融侨观邸旁 林景雅园 三房 好楼层 南北通透 随时看房 诚售,265,20929元/㎡,通宇林景雅园,浦口,3,126.62㎡,南北,2015年建造,"['南北', '满二年', '绿化率高']"
弘阳旭日 城三区 商品房 板楼 交通便利 满五 南北通透,230,17969元/㎡,弘阳旭日上城三区,浦口,3,128㎡,南北,2015年建造,"['南北', '满五年', '近地铁', '绿化率高']"
地铁口旁 江佑铂庭 精装三房好楼层 业主诚售,235,20825元/㎡,江佑铂庭,浦口,3,112.85㎡,南北,2014年建造,"['南北', '房东直卖', '满二年', '近地铁']"
碧桂园逸谷苑 一楼带300平大院子 价格太低挂不 260,288,24000元/㎡,南京碧桂园逸谷苑,滨江开发区,3,120㎡,南北,2017年建造,"['南北', '满二年', '户型方正']"
华府新上复式 好房 满二 急售 可谈 好楼层 急售,170,17895元/㎡,华府国际,浦口,3,95㎡,南北,2016年建造,"['南北', '满二年']"
再降10万特价房，紧靠通济街，中间楼层阳光好,94,8083元/㎡,宏泰雅苑,溧水,3,116.3㎡,南北,2018年建造,"['南北', '公摊小', '价格优惠', '房东急售']"
朝南 中间好楼层 出行方便 小三居 满五 近地铁 居家自住,140,15627元/㎡,南江新寓,浦口,3,89.59㎡,南,1999年建造,"['南', '满五年', '近地铁']"
一梯一户，南北通透户型，视野开阔的视野佳，低于市场价，安静,475,34421元/㎡,托乐嘉花园,江宁,3,138㎡,南北,2015年建造,"['南北', '满五年', '近地铁', '绿化率高']"
鼓楼 急售精装挑高跃层3室2厅 双南 云燕园 五塘地铁口,205,26283元/㎡,云燕园,鼓楼,3,78㎡,南北,2006年建造,"['南北', '满五年', '近地铁']"
降价15W 紫杨佳园精装修两房 采光极好电梯房 次新房,156,18142元/㎡,紫杨佳园,秦淮,2,85.99㎡,南北,2017年建造,"['南北', '满五年']"
房龄新 紫杨佳园 电梯房 低总价 小区环境号 位置好采光好,160,19513元/㎡,紫杨佳园,秦淮,2,82㎡,南北,2016年建造,['南北']
天润城 南北通透 精装修 交通便捷 近地铁 采光好 满五,118,12165元/㎡,天润城第一街区,浦口,2,97㎡,南北,2008年建造,"['南北', '满五年', '近地铁', '绿化率高']"
紫金山脚下 天然氧吧 钟鼎山庄 经典三房 有钥匙 低价急售,670,52039元/㎡,中冶钟鼎山庄,玄武,3,128.75㎡,南北,2009年建造,"['南北', '满五年', '近地铁', '车位充足']"
世茂荣里二期 南北通透 小三居 次新小区 中间楼层 近地铁,180,20218元/㎡,世茂荣里,浦口,3,89.03㎡,南北,2019年建造,"['南北', '满二年']"
实际138W 地铁旁 同心佳园 两房 好楼层 业主置换 急卖,145,16532元/㎡,同心佳园,浦口,2,87.71㎡,南北,2000年建造,"['南北', 'VIP房东直卖', '满二年', '近地铁']"
月牙湖 临地铁 商品房 满五 双卫格局 精装可拎包入住,290,24167元/㎡,梅花山庄,秦淮,3,120㎡,南北,2000年建造,"['南北', '近地铁', '绿化率高', '多人关注']"
降价53万 装修40万！带产权车位 金小金中 配套齐全,223,21038元/㎡,万达茂御湖仕家三期,栖霞,3,106㎡,南北,2017年建造,"['南北', '满五年', '近地铁']"
富力尚悦居 104平精装通透三房 小区 前排采光无遮挡,203,20100元/㎡,富力尚悦居(二期),雨花台,3,101㎡,南北,2018年建造,"['南北', '满二年', '户型方正']"
给您一个家苏宁滨江雅园，高性价比好房子,145,18125元/㎡,苏宁滨江雅园,浦口,2,80㎡,南北,2020年建造,"['南北', '满二年', '次新房']"
竹山路地铁口 武夷绿洲品兰苑 婚装两房 保养新 拎包入住哦,160,23427元/㎡,武夷绿洲品兰苑,江宁,2,68.3㎡,南北,2013年建造,"['南北', '满五年', '近地铁']"
梦幻家的边户，不浪费一点面积，房龄新，小区环境好,132,15280元/㎡,明发浦泰梦幻家,雨花台,3,86.39㎡,南,2017年建造,"['南', '满二年', '户型方正']"
骋望骊都 小三房 产权清晰 中间楼层采光好 小区新 南北通透,198,18290元/㎡,骋望骊都,江宁,3,108.26㎡,南北,2014年建造,"['南北', '满五年', '车位充足']"
155可出，五桥口龙湖开发，环境优美低密度洋房，业主诚心,165,18588元/㎡,颐和九里,浦口,3,88.77㎡,南北,2020年建造,"['南北', '满二年', '次新房']"
夫子庙 交通便利 市区核心！ 单价低 有空间！加量不加价~~,222,22200元/㎡,建康花苑,秦淮,3,100㎡,南北,1996年建造,"['南北', '满五年', '近地铁', '多人关注']"
精装低楼层 全明 冶山道院 边户厅大 俞家巷秣陵路,232,29368元/㎡,冶山道院小区,秦淮,2,79㎡,南北,1995年建造,"['南北', '满五年', '近地铁']"
中接飞9999 天润城地铁口 电梯房南北通透 中 楼层,122,14879元/㎡,天润城第九街区,浦口,2,82㎡,南北,2013年建造,"['南北', '满五年', '近地铁']"
房主换房急卖！价格可谈 满五年无个税 紧靠明发一中 采光不档,119,14122元/㎡,幸福美地,浦口,2,84.27㎡,南,2004年建造,"['南', '满五年', '近地铁', '绿化率高']"
科技住宅，享高品质人生，业主急卖！看房方便！,215,23972元/㎡,金象朗诗红树林,浦口,2,89.69㎡,南北,2019年建造,"['南北', '近地铁', '车位充足']"
满五 正南 3室2厅,139,16570元/㎡,晓庄村42号院,栖霞,3,83.89㎡,南,2003年建造,"['南', '房东直卖', '满五年', '近地铁']"
福基旭东新城 刚需3房 实验旭东 楼层 近地铁 配套成熟,128,14013元/㎡,福基旭东新城,六合,3,91.35㎡,南北,2000年建造,"['南北', '满五年', '近地铁']"
桥北地铁口 琅小 29中 天润城7街区 新空两房 设施齐 急,103,11574元/㎡,天润城第七街区,浦口,2,89㎡,南北,2010年建造,"['南北', '满五年', '近地铁']"
朗诗未来街区 近地铁 次新房 带电梯 满五 婚装南北通透,130,16190元/㎡,朗诗未来街区(西区),浦口,3,80.3㎡,南北,2014年建造,"['南北', '满五年', '近地铁']"
装修好 南北通透 正规商品房 集中供暖 有电梯,520,40887元/㎡,钟山花园城博雅居,玄武,3,127.18㎡,南北,2003年建造,"['南北', '满五年', '近地铁', '绿化率高']"
满二 房龄新 商品住宅 高楼层视野好 临地铁 正南朝向,226,28912元/㎡,正荣润锦城,浦口,1,78.17㎡,南,2017年建造,"['南', '满二年']"
秦淮雅居乐花园 人车分流 自带游泳池 小区环境优雅 交通方便,490,34266元/㎡,雅居乐花园,秦淮,3,143㎡,南北,2011年建造,"['南北', '满五年', '近地铁']"
南部新城电梯花园洋房！低于市场 80个 速速来电,276,25863元/㎡,良城美景,秦淮,3,106.72㎡,南北,2005年建造,"['南北', '满二年', '近地铁', '多人关注']"
秦虹!多层[17层]康居里小区,165,23139元/㎡,康居里小区,秦淮,3,71.31㎡,南北,2006年建造,"['南北', '满五年', '近地铁', '多人关注']"
东虹花苑 南北通透 采光好 双地铁 拎包入住 首付二成 急售,113,11895元/㎡,东虹花苑东苑,江宁,3,95㎡,南,2006年建造,"['南', '满二年']"
滨江馨园 83平 单价12700 诚售,120,14349元/㎡,滨江馨园,浦口,2,83.63㎡,南北,2018年建造,"['南北', '满二年', '近地铁']"
价格可大刀 方正大3房 精装保养新 满5 价可谈 有钥匙,280,21539元/㎡,托乐嘉花园,江宁,3,130㎡,南北,2014年建造,"['南北', '满五年', '近地铁', '绿化率高']"
